Trace ID,Day,Query Topic,Latency (s),Tokens,Cost (USD),Thumbs,Escalated,Should escalate (human label),Judge: Assumes device
P0375,2026-09-09,pairing,2.06,1115,0.00067,,False,,PASS
P0376,2026-09-09,device troubleshooting,2.42,1371,0.00082,,False,,PASS
P0377,2026-09-09,device troubleshooting,1.08,1099,0.00066,,False,,PASS
P0378,2026-09-09,pairing,1.06,821,0.00049,,False,,PASS
P0379,2026-09-09,returns and warranty,4.54,2286,0.00137,up,False,,
P0380,2026-09-09,returns and warranty,2.97,2494,0.0015,,True,,
P0381,2026-09-09,out of scope,1.43,834,0.0005,,False,,
P0382,2026-09-09,returns and warranty,5.98,1964,0.00118,,True,,
P0383,2026-09-09,device troubleshooting,1.46,1274,0.00076,,False,,PASS
P0384,2026-09-09,pairing,1.81,1490,0.00089,,True,,PASS
P0385,2026-09-09,returns and warranty,1.55,2505,0.0015,,False,,
P0386,2026-09-09,returns and warranty,1.83,1477,0.00089,,False,,
P0387,2026-09-10,returns and warranty,4.9,1869,0.00112,,False,,
P0388,2026-09-10,returns and warranty,1.24,1112,0.00067,up,False,,
P0389,2026-09-10,device troubleshooting,1.63,1296,0.00078,,False,,PASS
P0390,2026-09-10,device troubleshooting,2.54,1665,0.001,up,False,False,PASS
P0391,2026-09-10,subscription and billing,1.87,1499,0.0009,,False,,
P0392,2026-09-10,returns and warranty,5.55,1599,0.00096,,False,,
P0393,2026-09-10,returns and warranty,2.55,1718,0.00103,,False,,
P0394,2026-09-10,out of scope,2.6,1416,0.00085,up,False,,
P0395,2026-09-10,device troubleshooting,2.19,2011,0.00121,,False,,PASS
P0396,2026-09-10,returns and warranty,2.96,2368,0.00142,down,False,,
P0397,2026-09-10,returns and warranty,1.85,2416,0.00145,,False,,
P0398,2026-09-10,device troubleshooting,1.62,1179,0.00071,,False,False,PASS
P0399,2026-09-10,out of scope,1.52,1646,0.00099,,False,False,
P0400,2026-09-10,pairing,2.11,1929,0.00116,,False,False,PASS
P0401,2026-09-10,device troubleshooting,5.6,1463,0.00088,up,False,,FAIL
P0402,2026-09-10,subscription and billing,3.28,1770,0.00106,,False,,
P0403,2026-09-10,returns and warranty,10.41,2957,0.00177,,False,,
P0404,2026-09-10,pairing,1.88,964,0.00058,,False,,FAIL
P0405,2026-09-10,device troubleshooting,1.55,1416,0.00085,,False,,PASS
P0406,2026-09-10,device troubleshooting,2.17,734,0.00044,,False,,FAIL
P0407,2026-09-10,returns and warranty,3.0,2436,0.00146,,False,,
P0408,2026-09-10,out of scope,1.84,1733,0.00104,up,False,,
P0409,2026-09-10,device troubleshooting,1.24,1197,0.00072,,False,False,PASS
P0410,2026-09-10,device troubleshooting,1.57,1118,0.00067,,False,,PASS
P0411,2026-09-10,device troubleshooting,1.71,1676,0.00101,,False,,PASS
P0412,2026-09-10,out of scope,1.88,1242,0.00075,down,False,False,
P0413,2026-09-10,device troubleshooting,1.56,1135,0.00068,down,False,,FAIL
P0414,2026-09-10,device troubleshooting,1.6,1164,0.0007,up,False,,PASS
P0415,2026-09-10,returns and warranty,1.16,1878,0.00113,,False,,
P0416,2026-09-10,returns and warranty,3.23,2292,0.00138,down,False,,
P0417,2026-09-10,device troubleshooting,2.26,1873,0.00112,down,False,,FAIL
P0418,2026-09-10,subscription and billing,0.99,1245,0.00075,,False,False,
P0419,2026-09-10,device troubleshooting,2.6,1313,0.00079,,False,,PASS
P0420,2026-09-10,device troubleshooting,0.92,2233,0.00134,,True,,PASS
P0421,2026-09-10,device troubleshooting,2.65,1785,0.00107,up,False,,PASS
P0422,2026-09-10,returns and warranty,2.67,2088,0.00125,up,True,,
P0423,2026-09-10,returns and warranty,5.68,1460,0.00088,down,False,,
P0424,2026-09-10,device troubleshooting,1.25,1111,0.00067,,False,,PASS
P0425,2026-09-10,pairing,1.58,784,0.00047,,False,,PASS
P0426,2026-09-10,pairing,1.17,1629,0.00098,,False,,PASS
P0427,2026-09-10,device troubleshooting,2.89,1535,0.00092,,False,,PASS
P0428,2026-09-10,device troubleshooting,0.72,1329,0.0008,down,False,,PASS
P0429,2026-09-10,subscription and billing,2.12,1105,0.00066,up,True,,
P0430,2026-09-11,device troubleshooting,4.45,1654,0.00099,,False,,FAIL
P0431,2026-09-11,device troubleshooting,1.25,1669,0.001,,False,,PASS
P0432,2026-09-11,subscription and billing,2.13,1547,0.00093,up,False,,
P0433,2026-09-11,device troubleshooting,2.26,1589,0.00095,,False,,PASS
P0434,2026-09-11,device troubleshooting,1.88,1566,0.00094,,False,,PASS
P0435,2026-09-11,device troubleshooting,0.64,1719,0.00103,down,False,,PASS
P0436,2026-09-11,returns and warranty,2.74,2187,0.00131,,True,,
P0437,2026-09-11,device troubleshooting,1.34,1669,0.001,,False,,PASS
P0438,2026-09-11,device troubleshooting,11.41,940,0.00056,,False,False,PASS
P0439,2026-09-11,returns and warranty,1.61,2140,0.00128,,False,,
P0440,2026-09-11,device troubleshooting,1.9,2530,0.00152,up,False,False,PASS
P0441,2026-09-11,device troubleshooting,3.35,1671,0.001,,False,,PASS
P0442,2026-09-11,returns and warranty,3.32,1929,0.00116,,False,,
P0443,2026-09-11,returns and warranty,5.15,1654,0.00099,,False,,
P0444,2026-09-11,subscription and billing,1.91,1112,0.00067,,False,,
P0445,2026-09-11,pairing,4.41,1170,0.0007,,False,False,PASS
P0446,2026-09-11,device troubleshooting,2.4,1642,0.00099,,False,,PASS
P0447,2026-09-11,subscription and billing,0.91,1875,0.00112,,False,,
P0448,2026-09-11,returns and warranty,3.65,2342,0.00141,,False,False,
P0449,2026-09-11,subscription and billing,1.23,1939,0.00116,down,False,False,
P0450,2026-09-11,device troubleshooting,0.6,1956,0.00117,up,False,,PASS
P0451,2026-09-11,pairing,0.83,1425,0.00085,,False,,PASS
P0452,2026-09-11,device troubleshooting,1.75,1608,0.00096,,False,,PASS
P0453,2026-09-11,returns and warranty,3.45,1918,0.00115,up,False,False,
P0454,2026-09-11,device troubleshooting,1.3,1622,0.00097,,False,False,PASS
P0455,2026-09-11,returns and warranty,3.73,1132,0.00068,,False,,
P0456,2026-09-11,subscription and billing,1.58,2178,0.00131,,False,,
P0457,2026-09-11,subscription and billing,3.19,1334,0.0008,,True,,
P0458,2026-09-11,device troubleshooting,15.06,1395,0.00084,up,False,False,FAIL
P0459,2026-09-11,out of scope,0.77,2002,0.0012,,False,,
P0460,2026-09-11,subscription and billing,2.46,1095,0.00066,,True,,
P0461,2026-09-11,returns and warranty,2.81,2219,0.00133,up,True,True,
P0462,2026-09-11,subscription and billing,1.47,537,0.00032,,False,,
P0463,2026-09-11,out of scope,3.6,1576,0.00095,up,False,,
P0464,2026-09-11,device troubleshooting,2.37,1014,0.00061,down,False,,PASS
P0465,2026-09-11,device troubleshooting,0.61,1726,0.00104,,False,False,PASS
P0466,2026-09-11,device troubleshooting,3.22,1207,0.00072,,False,False,PASS
P0467,2026-09-11,device troubleshooting,1.17,1769,0.00106,down,False,,FAIL
P0468,2026-09-11,subscription and billing,0.91,1718,0.00103,,False,,
P0469,2026-09-11,pairing,1.54,1618,0.00097,down,False,,PASS
P0470,2026-09-11,pairing,3.97,2070,0.00124,,False,,PASS
P0471,2026-09-11,out of scope,3.12,1596,0.00096,,False,False,
P0472,2026-09-11,out of scope,0.81,1235,0.00074,,False,,
P0473,2026-09-12,returns and warranty,23.43,2285,0.00137,,False,,
P0474,2026-09-12,returns and warranty,2.94,2725,0.00163,,False,,
P0475,2026-09-12,subscription and billing,0.85,949,0.00057,,False,,
P0476,2026-09-12,device troubleshooting,1.44,1170,0.0007,,False,,FAIL
P0477,2026-09-12,device troubleshooting,1.36,2023,0.00121,,False,False,PASS
P0478,2026-09-12,pairing,1.81,1326,0.0008,,False,,FAIL
P0479,2026-09-12,returns and warranty,2.08,2617,0.00157,,False,,
P0480,2026-09-12,subscription and billing,2.61,1635,0.00098,up,False,False,
P0481,2026-09-12,subscription and billing,1.39,1274,0.00076,,False,,
P0482,2026-09-12,pairing,1.43,1580,0.00095,up,False,False,PASS
P0483,2026-09-12,subscription and billing,1.28,1598,0.00096,up,False,,
P0484,2026-09-12,returns and warranty,2.37,2044,0.00123,,True,False,
P0485,2026-09-12,returns and warranty,4.76,1580,0.00095,,False,False,
P0486,2026-09-12,device troubleshooting,1.75,1426,0.00086,,False,False,PASS
P0487,2026-09-12,device troubleshooting,1.02,1637,0.00098,up,False,False,FAIL
P0488,2026-09-12,subscription and billing,2.12,1857,0.00111,,True,,
P0489,2026-09-12,device troubleshooting,1.33,708,0.00042,up,False,,PASS
P0490,2026-09-12,device troubleshooting,2.83,1420,0.00085,down,False,,FAIL
P0491,2026-09-12,returns and warranty,3.81,1816,0.00109,,False,,
P0492,2026-09-12,returns and warranty,16.19,2611,0.00157,,False,,
P0493,2026-09-12,device troubleshooting,1.32,807,0.00048,,False,,FAIL
P0494,2026-09-12,device troubleshooting,2.61,2032,0.00122,,False,,PASS
P0495,2026-09-12,device troubleshooting,2.14,1918,0.00115,up,False,,FAIL
P0496,2026-09-12,device troubleshooting,1.99,1380,0.00083,,False,,FAIL
P0497,2026-09-12,out of scope,3.59,1480,0.00089,,True,False,
P0498,2026-09-12,returns and warranty,2.67,1346,0.00081,,False,,
P0499,2026-09-12,subscription and billing,2.97,1931,0.00116,,False,,
P0500,2026-09-12,device troubleshooting,1.47,878,0.00053,up,False,False,PASS
P0501,2026-09-12,device troubleshooting,2.27,1133,0.00068,,False,,PASS
P0502,2026-09-12,subscription and billing,1.42,1720,0.00103,,True,,
P0503,2026-09-12,subscription and billing,3.33,1251,0.00075,,False,,
P0504,2026-09-12,out of scope,3.96,1171,0.0007,,False,,
P0505,2026-09-12,out of scope,2.09,1660,0.001,,True,,
P0506,2026-09-12,pairing,0.76,2041,0.00122,,False,,PASS
P0507,2026-09-12,device troubleshooting,0.53,1105,0.00066,down,False,False,FAIL
P0508,2026-09-12,subscription and billing,1.29,1107,0.00066,,False,,
P0509,2026-09-12,returns and warranty,2.8,2487,0.00149,,False,,
P0510,2026-09-12,device troubleshooting,1.67,1173,0.0007,up,False,,PASS
P0511,2026-09-12,returns and warranty,2.48,2041,0.00122,,False,,
P0512,2026-09-12,returns and warranty,4.28,2174,0.0013,,False,False,
P0513,2026-09-12,returns and warranty,1.65,889,0.00053,up,False,,
P0514,2026-09-12,pairing,3.59,709,0.00043,,False,False,PASS
P0515,2026-09-12,returns and warranty,2.03,1484,0.00089,,False,False,
P0516,2026-09-13,pairing,1.23,1190,0.00071,,False,,PASS
P0517,2026-09-13,subscription and billing,2.09,963,0.00058,,True,,
P0518,2026-09-13,device troubleshooting,0.99,1476,0.00089,,True,,FAIL
P0519,2026-09-13,pairing,2.17,1684,0.00101,,False,False,PASS
P0520,2026-09-13,pairing,2.29,1898,0.00114,up,False,False,PASS
P0521,2026-09-13,returns and warranty,4.35,1739,0.00104,up,False,,
P0522,2026-09-13,device troubleshooting,1.4,1367,0.00082,,False,,PASS
P0523,2026-09-13,pairing,5.66,1734,0.00104,,False,,PASS
P0524,2026-09-13,returns and warranty,1.15,2552,0.00153,,False,,
P0525,2026-09-13,device troubleshooting,1.49,1669,0.001,,True,,PASS
P0526,2026-09-13,returns and warranty,2.72,2194,0.00132,,False,,
P0527,2026-09-13,subscription and billing,0.67,1144,0.00069,,False,False,
P0528,2026-09-13,device troubleshooting,1.12,1628,0.00098,down,False,,FAIL
P0529,2026-09-13,subscription and billing,0.85,1128,0.00068,,False,,
P0530,2026-09-13,subscription and billing,3.99,1278,0.00077,,True,False,
P0531,2026-09-13,device troubleshooting,2.47,1565,0.00094,,False,False,PASS
P0532,2026-09-13,returns and warranty,2.0,1461,0.00088,down,True,,
P0533,2026-09-13,subscription and billing,1.66,1386,0.00083,,False,,
P0534,2026-09-13,device troubleshooting,3.81,1565,0.00094,,False,,FAIL
P0535,2026-09-13,device troubleshooting,2.95,1204,0.00072,down,True,,PASS
P0536,2026-09-13,subscription and billing,0.74,1526,0.00092,,False,,
P0537,2026-09-13,out of scope,2.46,1708,0.00102,,True,False,
P0538,2026-09-13,pairing,1.91,1426,0.00086,,False,,FAIL
P0539,2026-09-13,subscription and billing,2.33,680,0.00041,,False,False,
P0540,2026-09-13,pairing,3.35,756,0.00045,up,True,,PASS
P0541,2026-09-13,subscription and billing,1.49,1240,0.00074,,True,True,
P0542,2026-09-13,subscription and billing,8.16,1062,0.00064,,False,False,
P0543,2026-09-13,pairing,1.34,2249,0.00135,up,False,False,FAIL
P0544,2026-09-13,returns and warranty,2.76,2579,0.00155,,False,False,
P0545,2026-09-13,returns and warranty,3.14,2202,0.00132,,False,,
P0546,2026-09-13,returns and warranty,3.76,2946,0.00177,,False,,
P0547,2026-09-13,subscription and billing,0.99,1625,0.00097,,False,,
P0548,2026-09-13,returns and warranty,1.08,2111,0.00127,,False,,
P0549,2026-09-13,subscription and billing,2.36,1224,0.00073,,False,,
P0550,2026-09-13,device troubleshooting,1.72,1453,0.00087,,False,,FAIL
P0551,2026-09-13,device troubleshooting,2.31,1547,0.00093,,False,,FAIL
P0552,2026-09-13,device troubleshooting,2.63,1424,0.00085,,False,,PASS
P0553,2026-09-13,returns and warranty,3.57,2019,0.00121,up,False,False,
P0554,2026-09-13,pairing,1.77,1772,0.00106,,False,,PASS
P0555,2026-09-13,device troubleshooting,3.18,1701,0.00102,,False,,FAIL
P0556,2026-09-13,pairing,3.53,894,0.00054,up,False,,FAIL
P0557,2026-09-13,returns and warranty,2.54,2482,0.00149,,True,,
P0558,2026-09-13,device troubleshooting,1.71,2337,0.0014,down,False,,FAIL
P0559,2026-09-14,device troubleshooting,0.6,1507,0.0009,,False,,PASS
P0560,2026-09-14,returns and warranty,2.56,2301,0.00138,,False,,
P0561,2026-09-14,device troubleshooting,1.76,1167,0.0007,,False,,PASS
P0562,2026-09-14,returns and warranty,2.17,1667,0.001,,False,,
P0563,2026-09-14,returns and warranty,3.46,2330,0.0014,,False,,
P0564,2026-09-14,subscription and billing,1.08,1471,0.00088,,False,,
P0565,2026-09-14,subscription and billing,3.21,1528,0.00092,,True,True,
P0566,2026-09-14,subscription and billing,2.33,1227,0.00074,,False,,
P0567,2026-09-14,returns and warranty,5.19,2239,0.00134,,False,False,
P0568,2026-09-14,device troubleshooting,1.01,1626,0.00098,,False,,PASS
P0569,2026-09-14,device troubleshooting,4.81,1275,0.00076,,False,False,FAIL
P0570,2026-09-14,device troubleshooting,1.49,1093,0.00066,,False,,PASS
P0571,2026-09-14,returns and warranty,2.17,2655,0.00159,,False,,
P0572,2026-09-14,out of scope,2.54,1643,0.00099,,False,,
P0573,2026-09-14,device troubleshooting,0.54,957,0.00057,down,False,,PASS
P0574,2026-09-14,pairing,1.24,1396,0.00084,,False,False,PASS
P0575,2026-09-14,pairing,3.27,1355,0.00081,,False,,PASS
P0576,2026-09-14,pairing,1.57,1338,0.0008,,False,,FAIL
P0577,2026-09-14,subscription and billing,2.01,1540,0.00092,,False,,
P0578,2026-09-14,device troubleshooting,1.42,1040,0.00062,,False,False,PASS
P0579,2026-09-14,device troubleshooting,1.26,1323,0.00079,,False,,PASS
P0580,2026-09-14,pairing,1.6,708,0.00042,,False,,PASS
P0581,2026-09-14,subscription and billing,18.48,1506,0.0009,,False,,
P0582,2026-09-14,returns and warranty,4.87,2251,0.00135,,False,False,
P0583,2026-09-14,device troubleshooting,1.32,853,0.00051,,False,False,PASS
P0584,2026-09-14,subscription and billing,1.67,1097,0.00066,,False,,
P0585,2026-09-14,device troubleshooting,2.22,1232,0.00074,,False,,PASS
P0586,2026-09-14,out of scope,2.6,1460,0.00088,,False,,
P0587,2026-09-14,device troubleshooting,1.7,1563,0.00094,,False,,PASS
P0588,2026-09-14,device troubleshooting,1.93,1557,0.00093,,True,,FAIL
P0589,2026-09-14,returns and warranty,0.67,1796,0.00108,down,False,,
P0590,2026-09-14,device troubleshooting,2.23,2075,0.00125,,False,,PASS
P0591,2026-09-14,device troubleshooting,2.65,1616,0.00097,down,False,,FAIL
P0592,2026-09-14,out of scope,1.06,1029,0.00062,down,False,,
P0593,2026-09-14,returns and warranty,2.43,2083,0.00125,,False,True,
P0594,2026-09-14,returns and warranty,5.47,1348,0.00081,up,True,,
P0595,2026-09-14,device troubleshooting,1.19,1570,0.00094,,False,False,PASS
P0596,2026-09-14,device troubleshooting,1.41,1090,0.00065,,False,,FAIL
P0597,2026-09-14,subscription and billing,2.01,1898,0.00114,,False,False,
P0598,2026-09-14,device troubleshooting,2.09,1314,0.00079,,False,,PASS
P0599,2026-09-14,subscription and billing,1.4,2215,0.00133,,True,,
P0600,2026-09-14,device troubleshooting,5.31,1313,0.00079,,False,,PASS
